fid,postal,school_phone,program,@computed_region_mnf4_kaez,@computed_region_5jki_au6x,epsb_ward,school_email,point_y,distict_centre,school_website,point_x,childcare,grades,city_ward,@computed_region_izdr_ja4x,address,school_name,school_code,@computed_region_7ccj_gre3,@computed_region_ecxu_fw7u,NUMPOINTS
11,T6K4A3,(780) 462-5031,FDK,3,7,EPSB WARD I,tipaskan@epsb.ca,53.46302322,PKP/INT,http://tipaskan.epsb.ca,-113.4589805,No,K to Gr 6,WARD 11,9,1200 Lakewood Road North NW,Tipaskan School,7270,54,56,302
12,T6H3M1,(780) 434-8402,FIM,2,5,EPSB WARD F,avalon@epsb.ca,53.49185464,BLA,http://avalon.epsb.ca/,-113.5244202,No,Gr 7-9,WARD 10,6,5425 - 114 Street NW,Avalon Junior School,7550,51,197,487
13,T5Y0J5,(780) 408-7942,,7,2,EPSB WARD B,ecsne@epsb.ca,53.62032929,,http://edmchristian.net,-113.4318172,No,K to Gr 9,WARD 04,2,5940 - 159 Avenue NW,Edmonton Christian Northeast School,1282,279,183,131
14,T5P2X4,(780) 483-6476,,1,1,EPSB WARD E,meadowlarkchristian@epsb.ca,53.53670881,,http://k-9christian.com,-113.5933341,No,K to Gr 9,WARD 01,5,9825-158 Street NW,Meadowlark Christian School,7931,31,186,847
15,T6L5X2,(780) 461-0616,,4,7,EPSB WARD G,minchau@epsb.ca,53.46771456,BLA,http://minchau.epsb.ca,-113.4083636,No,K to Gr 6,WARD 12,7,3615 Millwoods Road East NW,Minchau School,7274,44,65,95
16,T6J3Z9,(780) 437-0010,BGE,2,6,EPSB WARD F,rideaupark@epsb.ca,53.47860442,INT,http://rideaupark.epsb.ca,-113.5055133,Yes,K to Gr 6,WARD 10,6,10605 - 42 Avenue NW,Rideau Park School,7232,142,20,413
17,T6K2C7,(780) 462-5125,,3,7,EPSB WARD I,satoo@epsb.ca,53.4468606,BLA,http://satoo.epsb.ca,-113.4605512,No,K to Gr 6,WARD 11,9,8515 - 17 Avenue NW,Satoo School,7235,118,34,131
18,T5C3A9,(780) 476-3969,FIM,10,3,EPSB WARD B,delwood@epsb.ca,53.59642459,INT,http://delwood.epsb.ca,-113.4553592,Yes,K to Gr 6,WARD 07,2,7315 Delwood Road NW,Delwood School,7194,237,164,351
19,T5P0W3,(780) 484-6631,FDK,1,1,EPSB WARD C,brightview@epsb.ca,53.5490519,BLA/OPP,http://brightview.epsb.ca,-113.5876974,No,K to Gr 6,WARD 01,3,15425 - 106 Avenue NW,Brightview School,7504,84,188,822
20,T6J1A6,(780) 438-9103,,2,6,EPSB WARD F,dsmackenzie@epsb.ca,53.47603525,BLA/CHA/STR,http://dsmackenzie.epsb.ca,-113.5060803,No,Gr 7-9,WARD 10,6,4020 - 106 Street NW,D S MacKenzie School,7522,142,20,350
21,T5P0S3,(780) 489-5300,LOG,1,1,EPSB WARD C,britannia@epsb.ca,53.54674264,BLA/CLS,http://britannia.epsb.ca,-113.5979116,Yes,Gr 7-9,WARD 01,3,16018 - 104 Avenue NW,Britannia School,7551,30,87,763
22,T6R2H7,(780) 435-1577,,12,6,EPSB WARD F,earlbuxton@epsb.ca,53.47402818,,http://ebuxton.epsb.ca,-113.5825196,Yes,K to Gr 6,WARD 09,6,250 Rhatigan Road East NW,Earl Buxton School,7278,71,64,50
23,T5X4X4,(780) 456-6727,,6,2,EPSB WARD A,baturyn@epsb.ca,53.63284177,STR,http://baturyn.epsb.ca,-113.50615,Yes,K to Gr 6,WARD 03,1,10603 - 172 Avenue NW,Baturyn School,7247,248,140,162
24,T6L3A9,(780) 463-1854,,3,7,EPSB WARD I,sakaw@epsb.ca,53.44076554,PKP/OPP,http://sakaw.epsb.ca,-113.4278545,No,K to Gr 6,WARD 11,9,5730 - 11A Avenue NW,Sakaw School,7251,251,14,163
25,T5E3P6,(780) 475-1737,BAR,10,2,EPSB WARD A,killarney@epsb.ca,53.59124923,CLS/OPP,http://killarney.epsb.ca,-113.4818679,Yes,Gr 7-9,WARD 07,1,13110 - 91 Street NW,Killarney School,7516,38,152,621
26,T6H0V7,(780) 434-3588,FIM,2,5,EPSB WARD F,lendrum@epsb.ca,53.49090538,,http://lendrum.epsb.ca,-113.5222181,Yes,K to Gr 6,WARD 10,6,11330 - 54 Avenue NW,Lendrum School,7185,51,197,496
27,T6J4T6,(780) 437-0366,ISA,2,6,EPSB WARD F,sweetgrass@epsb.ca,53.46333612,,http://sweetgrass.epsb.ca,-113.5278023,No,K to Gr 6,WARD 10,6,11351 - 31 Avenue NW,Sweet Grass School,7243,273,171,174
28,T6R0M8,(587) 489-4702,,12,6,EPSB WARD H,Nelliecarlson@epsb.ca,53.4421455,INT,http://nelliecarlson.epsb.ca/,-113.5571497,Yes,K to Gr 9,WARD 09,8,4132 MacTaggart Drive NW,Nellie Carlson School,1936,331,89,31
29,T5A3R5,(780) 476-7953,FDK,7,3,EPSB WARD B,sifton@epsb.ca,53.59426469,PKP/BLA,http://sifton.epsb.ca,-113.4081184,No,K to Gr 6,WARD 04,2,4305 - 134 Avenue NW,Sifton School,7238,204,199,1000
30,T6M2Z7,(780) 444-1922,,8,4,EPSB WARD E,bessienichols@epsb.ca,53.48713954,,http://bessienichols.epsb.ca/,-113.6716111,Yes,K to Gr 9,WARD 05,5,189 Hemingway Road NW,Bessie Nichols School,1577,361,5,82
31,T5L2W3,(780) 455-6171,BCH,5,1,EPSB WARD C,dovercourt@epsb.ca,53.57363673,INT,http://dovercourt.epsb.ca,-113.5614806,Yes,K to Gr 6,WARD 02,3,13910 - 122 Avenue NW,Dovercourt School,7121,49,215,208
32,T5C1C2,(780) 476-0775,FIM,6,3,EPSB WARD B,jafife@epsb.ca,53.61161737,LIT,http://jafife.epsb.ca,-113.460791,Yes,K to Gr 6,WARD 03,2,15004 - 76 Street NW,J A Fife School,7188,167,166,187
33,T6K3J3,(780) 462-2627,APL,3,7,EPSB WARD G,millwoodsch@epsb.ca,53.47537016,,http://mcs.epsb.ca,-113.4623005,No,K to Gr 12,WARD 11,7,8704 Millwoods Road NW,Millwoods Christian School,7909,225,240,194
34,T5N3L5,(780) 408-7948,,9,1,EPSB WARD C,ecswest@epsb.ca,53.55557298,,http://edmchristian.net,-113.5688308,No,K to Gr 9,WARD 06,3,14345 McQueen Road NW,Edmonton Christian West School,1283,7,195,274
35,T5N2V3,(780) 455-0832,,9,1,EPSB WARD C,grovenor@epsb.ca,53.54502168,PKP/BLA,http://grovenor.epsb.ca,-113.5684595,Yes,K to Gr 6,WARD 06,3,10345 - 144 Street NW,Grovenor School,7129,29,196,368
36,T5T2B1,(780) 487-0727,,8,4,EPSB WARD E,callingwood@epsb.ca,53.50870508,PKP/BLA,http://callingwood.epsb.ca,-113.6228502,No,K to Gr 6,WARD 05,5,17335 - 76 Avenue NW,Callingwood Elementary School,7237,60,97,364
37,T5M0J2,(780) 452-8350,,5,1,EPSB WARD C,westmount@epsb.ca,53.55968294,OPP,http://westmountschool.ca,-113.5468843,No,Gr 7-9,WARD 02,3,11124 - 130 Street NW,Westmount School,7544,104,48,555
38,T5A4L4,(780) 476-3361,,7,3,EPSB WARD B,overlanders@epsb.ca,53.58130675,BLA/OPP,http://overlanders.epsb.ca,-113.3891756,No,K to Gr 6,WARD 04,2,1150 Hermitage Road NW,Overlanders School,7229,244,29,223
39,T5E1J2,(780) 475-3565,,5,2,EPSB WARD A,instsrvs@epsb.ca,53.59409803,,,-113.4960072,No,K to Gr 12,WARD 02,1,10205 - 134 Avenue NW,Rosecrest School,7729,37,224,670
40,T6L5T7,(780) 462-5261,,4,7,EPSB WARD I,weinlos@epsb.ca,53.46011093,BLA/OPP,http://weinlos.epsb.ca,-113.416301,Yes,K to Gr 6,WARD 12,9,2911 - 48 Street NW,Weinlos School,7265,77,65,346
41,T6J5J8,(780) 438-3874,,2,6,EPSB WARD H,keheewin@epsb.ca,53.44904586,INT,http://keheewin.epsb.ca,-113.5015004,No,K to Gr 6,WARD 10,8,1910 - 105 Street NW,Keheewin School,7254,163,109,296
42,T5E5R8,(780) 457-3467,,10,2,EPSB WARD A,lslondonderry@epsb.ca,53.59791294,,http://outreach.epsb.ca,-113.4888542,No,Gr 10-12,WARD 07,1,2014 9499-137 Avenue NW,Learning Store at Londonderry,7722,12,157,616
43,T6L5C3,(780) 463-8108,,3,7,EPSB WARD G,hillview@epsb.ca,53.46771114,PKP,http://hillview.epsb.ca,-113.4281363,No,K to Gr 6,WARD 11,7,355 Woodvale Road East NW,Hillview School,7255,21,57,216
44,T6K3Y5,(780) 463-7627,BCH,3,7,EPSB WARD I,meyonohk@epsb.ca,53.4552352,,http://meyonohk.epsb.ca,-113.4540417,Yes,K to Gr 6,WARD 11,9,1850 Lakewood Road South NW,Meyonohk School,7249,52,238,313
45,T5R3V8,(780) 489-6749,SCA,8,4,EPSB WARD E,elmwood@epsb.ca,53.51634289,PKP/ISP,http://elmwood.epsb.ca,-113.604687,Yes,K to Gr 6,WARD 05,5,16325 - 83 Avenue NW,Elmwood School,7204,9,98,263
46,T5E6R8,(780) 456-9482,,5,2,EPSB WARD A,griesbach@epsb.ca,53.6075656,,http://griesbach.epsb.ca,-113.4964642,No,K to Gr 9,WARD 02,1,320 Griesbach Road NW,Major General Griesbach School,7575,151,226,295
47,T5G0B7,(780) 735-7987,CAS,5,1,EPSB WARD C,glenrose@epsb.ca,53.55935443,,https://epsb.ca/programs/specializedprograms/hospitalstaysandmedicalneeds/,-113.4960639,No,K to Gr 12,WARD 02,3,10230 - 111 Avenue NW,Hospital School Campuses,7701,4,151,1574
48,T6K1Y9,(780) 462-3270,COG,3,7,EPSB WARD G,mtweddle@epsb.ca,53.47730894,,http://malcolmtweddle.epsb.ca,-113.457652,No,K to Gr 6,WARD 11,7,2340 Millbourne Road West NW,Malcolm Tweddle School,7223,225,240,217
49,T6H0M6,(780) 434-3160,,2,5,EPSB WARD F,lansdowne@epsb.ca,53.48766994,PKP,http://lansdowne.epsb.ca,-113.5455119,Yes,K to Gr 6,WARD 10,6,12323 - 51 Avenue NW,Lansdowne School,7180,263,185,62
50,T5W1Z5,(780) 477-7310,FDK,10,3,EPSB WARD D,abbott@epsb.ca,53.5743841,BLA/STR,http://abbott.epsb.ca,-113.3927561,Yes,K to Gr 6,WARD 07,4,12045 - 34 Street NW,Abbott School,7100,243,177,407
51,T6K0C7,(780) 462-7121,SKC,3,7,EPSB WARD G,gmartin@epsb.ca,53.46925429,LIT/OPP,http://gmartin.epsb.ca,-113.4566641,No,K to Gr 6,WARD 11,7,8210 - 36 Avenue NW,Grace Martin School,7220,40,239,335
52,T5H1A8,(780) 426-3010,IBP/IBM/IB,9,5,EPSB WARD C,victoria@epsb.ca,53.5533424,,http://victoria.epsb.ca/,-113.4953462,Yes,K to Gr 12,WARD 06,3,10210 - 108 Avenue NW,Victoria School,7055,181,220,2722
53,T5G3K2,(780) 424-1270,AMK,5,1,EPSB WARD C,amiskwaciy@epsb.ca,53.57096758,,http://amiskwaciy.epsb.ca/,-113.5232033,No,Gr 7-12,WARD 02,3,101 Airport Road NW,Amiskwaciy Academy,484,209,221,724
54,T6X1A3,(780) 988-5556,,4,7,EPSB WARD I,ellerslie@epsb.ca,53.42801029,,http://ellerslie.epsb.ca,-113.4417622,No,K to Gr 9,WARD 12,9,521-66 Street SW,Ellerslie Campus,7565,213,21,164
55,T5T4C1,(780) 483-1864,,1,4,EPSB WARD C,laperle@epsb.ca,53.53330944,STR,http://laperle.epsb.ca,-113.6458264,Yes,K to Gr 6,WARD 01,3,18715 - 97A Avenue NW,LaPerle School,7267,132,159,195
56,T6V1V4,(587) 489-4712,,5,1,EPSB WARD A,hilwiehamdon@epsb.ca,53.6074839,INT,http://hilwiehamdon.epsb.ca,-113.558242,Yes,K to Gr 9,WARD 02,1,13815 - Cumberland Road NW,Hilwie Hamdon School,1931,378,216,178
57,T5T0G9,(780) 487-2061,,8,4,EPSB WARD C,thorncliffe@epsb.ca,53.51598611,BLA/LIT,http://thorncliffe.epsb.ca,-113.6229807,Yes,K to Gr 6,WARD 05,3,8215 - 175 Street NW,Thorncliffe School,7216,10,96,530
58,T5P3N5,(780) 489-4600,FDK/LOG,1,1,EPSB WARD C,youngstown@epsb.ca,53.54580766,PKP,http://youngstown.epsb.ca,-113.603005,Yes,K to Gr 6,WARD 01,3,10330 - 163 Street NW,Youngstown School,7213,30,87,751
59,T6W1P4,(780) 437-1341,,12,6,EPSB WARD H,johnnybright@epsb.ca,53.41928146,,http://johnnybright.epsb.ca/,-113.5348805,No,K to Gr 9,WARD 09,8,1331 Rutherford Road NW,Johnny Bright School,1455,168,117,110
60,T5E5L2,(780) 454-4313,BAR/FDK,5,1,EPSB WARD A,calder@epsb.ca,53.58865768,BLA,http://calder.epsb.ca/,-113.525571,No,K to Gr 6,WARD 02,1,12950 - 118 Street NW,Calder School,7113,70,104,254
61,T6L2R2,(780) 450-1532,,4,7,EPSB WARD I,dalygrove@epsb.ca,53.44986355,INT,http://dalygrove.epsb.ca,-113.3998572,No,K to Gr 6,WARD 12,9,1888 - 37 Street NW,Daly Grove School,7264,265,7,191
62,T6E2H5,(780) 433-0627,ACA/IB,11,5,EPSB WARD F,oldscona@epsb.ca,53.51977537,,http://oldscona.epsb.ca,-113.5019757,No,Gr 10-12,WARD 08,6,10523 - 84 Avenue NW,Old Scona School,7066,315,9,1470
63,T5P3H4,(780) 489-4300,FDK,1,1,EPSB WARD E,glendale@epsb.ca,53.53637374,INT,http://glendale.epsb.ca,-113.5995895,No,K to Gr 6,WARD 01,5,9812 - 161 Street NW,Glendale School,7205,31,186,715
64,T6J4A6,(780) 437-1080,,2,6,EPSB WARD F,steinhauer@epsb.ca,53.46466265,PKP/BLA/LIT,http://steinhauer.epsb.ca,-113.5063456,Yes,K to Gr 6,WARD 10,6,10717 - 32A Avenue NW,Steinhauer School,7241,274,173,180
65,T6L5X1,(780) 450-6536,,4,7,EPSB WARD I,bisset@epsb.ca,53.4606054,PKP,http://bisset.epsb.ca,-113.3989634,No,K to Gr 6,WARD 12,9,3020 - 37 Street NW,Bisset School,7276,108,65,147
66,T5L1W3,(780) 455-2728,,5,1,EPSB WARD A,mcarthur@epsb.ca,53.59765751,BLA/PKP/STR,http://mcarthur.epsb.ca,-113.5514371,No,K to Gr 6,WARD 02,1,13535 - 134 Street NW,McArthur School,7143,86,50,337
67,T6H3J9,(780) 434-8503,BCH,2,5,EPSB WARD F,parkallen@epsb.ca,53.50420538,OPP,http://parkallen.epsb.ca,-113.5193463,Yes,K to Gr 6,WARD 10,6,6703 - 112 Street NW,Parkallen School,7529,17,18,206
68,T6W0V9,(780) 944-2829,,12,6,EPSB WARD H,constabledanielwoodall@epsb.ca,53.43954046,,http://constabledanielwoodall.epsb.ca,-113.6172979,Yes,K to Gr 6,WARD 09,8,315 Windermere Road NW,Constable Daniel Woodall School,1924,327,77,200
69,T5W1Y7,(587) 489-4714,FDK,10,3,EPSB WARD D,ivordent@epsb.ca,53.56366712,BLA,http://ivordent.epsb.ca,-113.3903114,No,K to Gr 9,WARD 07,4,11010 - 32 Street NW,Ivor Dent School,1951,232,176,295
70,T6L5C5,(780) 462-5496,,4,7,EPSB WARD I,tdbaker@epsb.ca,53.44793634,BLA/CHA/INT/OPP,http://tdbaker.epsb.ca,-113.4052283,No,Gr 7-9,WARD 12,9,1750 Millwoods Road East NW,T D Baker School,7570,250,7,227
71,T6A3X4,(780) 466-0312,BGE,11,5,EPSB WARD D,forest@epsb.ca,53.54472479,,http://forestheights.epsb.ca,-113.4533524,Yes,K to Gr 6,WARD 08,4,10304 - 81 Street NW,Forest Heights School,7123,293,1,207
72,T6X2E1,(587) 489-4716,,4,7,EPSB WARD I,janreimer@epsb.ca,53.40746822,BLA,http://janreimer.epsb.ca,-113.4534422,Yes,K to Gr 9,WARD 12,9,360 Orchard Boulevard SW,Jan Reimer School,1927,362,112,70
73,T5W3P6,(780) 477-8202,ART,10,3,EPSB WARD D,mountroyal@epsb.ca,53.56875335,,http://mountroyal.epsb.ca/,-113.4254261,Yes,K to Gr 6,WARD 07,4,11303 - 55 Street NW,Mount Royal School,7153,8,168,312
74,T5L1J3,(780) 455-5823,FDK,5,1,EPSB WARD A,athlone@epsb.ca,53.58830211,BLA,http://athlone.epsb.ca/,-113.5448401,Yes,K to Gr 6,WARD 02,1,12940 - 129 Street NW,Athlone School,7104,62,105,278
75,T5P0B9,(780) 489-2600,FDK,1,1,EPSB WARD E,sherwood@epsb.ca,53.53285587,OPP,http://sherwood.epsb.ca,-113.5836972,Yes,K to Gr 6,WARD 01,5,9550 - 152 Street NW,Sherwood School,7212,91,187,527
76,T5B1P1,(780) 479-1991,APL,10,3,EPSB WARD D,eastglen@epsb.ca,53.56781417,CLS/INT,http://eastglen.epsb.ca,-113.4454981,No,Gr 10-12,WARD 07,4,11430 - 68 Street NW,Eastglen School,7051,66,168,457
77,T5L0Z9,(780) 455-5533,AWA/FDK,5,1,EPSB WARD C,pcharles@epsb.ca,53.57857966,,http://princecharles.epsb.ca,-113.5401604,No,K to Gr 6,WARD 02,3,12325 - 127 Street NW,Prince Charles School,7161,18,106,366
78,T6A0B6,(780) 469-0442,BCH/IB,11,5,EPSB WARD D,mcnally@epsb.ca,53.54829216,INT/STR,http://mcnally.epsb.ca/,-113.4593675,No,Gr 10-12,WARD 08,4,8440 - 105 Avenue NW,McNally School,7058,293,1,189
79,T5C2R8,(780) 476-5675,BCH,10,3,EPSB WARD B,kildare@epsb.ca,53.60642907,,http://kildare.epsb.ca,-113.4570801,No,K to Gr 6,WARD 07,2,7525 - 144 Avenue NW,Kildare School,7138,15,165,323
80,T6K1Y8,(780) 462-3230,,3,7,EPSB WARD G,leeridge@epsb.ca,53.47125317,BLA/INT,http://leeridge.epsb.ca,-113.4446658,No,K to Gr 6,WARD 11,7,440 Millbourne Road East NW,Lee Ridge School,7224,20,239,275
81,T6L3P5,(780) 462-0660,FIM,3,7,EPSB WARD G,greenview@epsb.ca,53.47384104,,http://greenview.epsb.ca,-113.4279311,No,K to Gr 6,WARD 11,7,5904 - 38 Avenue NW,Greenview School,7250,46,57,110
82,T5R1P1,(780) 484-3381,COG,1,4,EPSB WARD E,stratford@epsb.ca,53.52003386,,http://stratford.epsb.ca,-113.584737,Yes,K to Gr 9,WARD 01,5,8715 - 153 Street NW,Stratford Elementary/Junior High School,7553,39,83,340
83,T6J0S1,(780) 438-4200,,2,6,EPSB WARD F,westbrook@epsb.ca,53.47588075,CHA,http://westbrook.epsb.ca,-113.5395419,No,K to Gr 6,WARD 10,6,11915 - 40 Avenue NW,Westbrook School,7197,255,170,106
84,T5R1P1,(780) 489-8020,TPM,1,4,EPSB WARD E,jgibbons@epsb.ca,53.52262328,,http://jgibbons.epsb.ca,-113.5845974,Yes,K to Gr 6,WARD 01,5,8945 - 153 Street NW,James Gibbons School,7207,39,83,370
85,T6J1T4,(780) 436-9839,COG/FIM,2,6,EPSB WARD F,rsecord@epsb.ca,53.47702232,,http://rsecord.epsb.ca,-113.5346256,Yes,K to Gr 6,WARD 10,6,4025 - 117 Street NW,Richard Secord School,7201,110,13,130
86,T5Y2B9,(780) 478-7706,,7,3,EPSB WARD B,bannerman@epsb.ca,53.60503,ISP/STR,http://bannerman.epsb.ca,-113.3787147,Yes,K to Gr 6,WARD 04,2,14112 - 23 Street NW,Bannerman School,7253,105,210,251
87,T5T4E9,(780) 487-1777,COG,8,4,EPSB WARD E,lymburn@epsb.ca,53.50560259,INT,http://lymburn.epsb.ca,-113.6467001,Yes,K to Gr 6,WARD 05,5,18710 - 72 Avenue NW,Lymburn School,7269,135,97,98
88,T5B3W4,(780) 477-8742,FDK,10,3,EPSB WARD D,delton@epsb.ca,53.5758487,PKP/BLA/OPP,http://delton.epsb.ca,-113.4785028,No,K to Gr 6,WARD 07,4,12126 - 89 Street NW,Delton School,7118,42,155,874
89,T6H3N8,(780) 434-1362,BAR,2,5,EPSB WARD F,malmo@epsb.ca,53.48522333,,http://malmo.epsb.ca,-113.5291997,Yes,K to Gr 6,WARD 10,6,4716 - 115 Street NW,Malmo School,7186,148,197,408
90,T6A1Y3,(780) 466-4116,,11,5,EPSB WARD D,goldbar@epsb.ca,53.54940948,BLA,http://goldbar.epsb.ca/,-113.4133851,Yes,K to Gr 6,WARD 08,4,10524 - 46 Street NW,Gold Bar School,7127,239,30,105
91,T5X3A9,(780) 456-4488,,6,2,EPSB WARD A,lorelei@epsb.ca,53.62416365,INT/OPP,http://lorelei.epsb.ca,-113.5018692,No,K to Gr 6,WARD 03,1,16230 - 103 Street NW,Lorelei School,7242,191,236,261
92,T6L6P5,(780) 469-0470,PAP,4,7,EPSB WARD I,kchegwin@epsb.ca,53.46258518,BLA/STR,http://katechegwin.epsb.ca,-113.4150665,No,Gr 7-9,WARD 12,9,3119 - 48 Street NW,Kate Chegwin School,7574,77,65,241
93,T5R5A4,(780) 484-3263,ART,1,4,EPSB WARD E,afton@epsb.ca,53.52661921,,http://afton.epsb.ca,-113.6095805,Yes,K to Gr 6,WARD 01,5,16604 - 91 Avenue NW,Afton School,7192,92,93,527
94,T6J2C1,(780) 413-2211,,2,6,EPSB WARD F,vbarford@epsb.ca,53.47359199,CHA/LIT,http://vbarford.epsb.ca,-113.5423226,No,Gr 7-9,WARD 10,6,32 Fairway Drive NW,Vernon Barford School,7557,255,170,78
95,T5R5B3,(780) 483-3415,BCH/PAP,1,5,EPSB WARD E,parkview@epsb.ca,53.5270171,INT,http://parkview.epsb.ca,-113.568468,No,K to Gr 9,WARD 01,5,14313 - 92 Avenue NW,Parkview School,7531,32,115,136
96,T6B2E2,(780) 469-5339,,11,5,EPSB WARD G,claratyner@epsb.ca,53.53096417,,http://claratyner.epsb.ca,-113.4354656,No,K to Gr 6,WARD 08,7,9420 Ottewell Road NW,Clara Tyner School,7193,23,123,205
97,T5M1P8,(780) 455-2008,IBP,9,5,EPSB WARD C,coronation@epsb.ca,53.5550956,,http://coronation.epsb.ca,-113.560816,Yes,K to Gr 6,WARD 06,3,10925 - 139 Street NW,Coronation School,7115,14,195,357
98,T6M2L2,(780) 489-7277,,8,4,EPSB WARD E,makostek@epsb.ca,53.48960175,,http://michaelakostek.epsb.ca/,-113.6506412,No,K to Gr 6,WARD 05,5,5303 - 190 Street NW,Michael A Kostek Elementary School,7281,399,26,66
99,T6C3G6,(780) 466-8573,SPA,3,5,EPSB WARD G,donnan@epsb.ca,53.51445764,,http://donnan.epsb.ca,-113.460702,Yes,K to Gr 6,WARD 11,7,7803 - 87 Street NW,Donnan School,7505,374,74,354
100,T5K2V4,(780) 488-1221,FIM/NMC,9,5,EPSB WARD D,oliver@epsb.ca,53.54381998,,http://oliver.epsb.ca/,-113.5246241,Yes,K to Gr 9,WARD 06,4,10227 - 118 Street NW,Oliver School,7527,182,144,1194
101,T5Z3X1,(780) 478-1410,,6,2,EPSB WARD A,florencehallock@epsb.ca,53.62702284,,http://florencehallock.epsb.ca/,-113.4743543,No,K to Gr 9,WARD 03,1,16437 87 St NW,Florence Hallock School,1457,106,163,157
102,T5M2P2,(780) 448-5000,BCH/FIM/IB/SPA,5,1,EPSB WARD C,rsheppard@epsb.ca,53.55970205,CLS/INT,http://shep.epsb.ca,-113.5580803,No,Gr 10-12,WARD 02,3,13546 - 111 Avenue NW,Ross Sheppard School,7053,19,209,426
103,T5T2Y9,(780) 481-3314,FDK,1,4,EPSB WARD C,belmead@epsb.ca,53.5256838,INT,http://belmead.epsb.ca,-113.6382297,Yes,K to Gr 6,WARD 01,3,9011 - 182 Street NW,Belmead School,7236,65,159,519
104,T5T5X8,(587) 489-4720,COG,1,4,EPSB WARD C,michaelphair@epsb.ca,53.53107121,,http://michaelphair.epsb.ca,-113.6822079,No,Gr 7-9,WARD 01,3,9407 - 211 Street NW,Michael Phair School,1933,155,158,142
105,T6H4C2,(780) 434-7914,,12,6,EPSB WARD F,riverbend@epsb.ca,53.49103683,CHA,http://riverbend.epsb.ca,-113.577502,No,Gr 7-9,WARD 09,6,14820 - 53 Avenue NW,Riverbend School,7538,259,178,87
106,T5A1Y3,(780) 479-1991,,7,3,EPSB WARD B,eastglen@epsb.ca,53.60870251,BLA/CHA/STR,http://eastglen.epsb.ca,-113.4314967,No,Gr 7-9,WARD 04,2,14607 - 59 Street NW,Steele Heights School,7532,149,182,256
107,T6B1R7,(780) 468-3000,TER,11,5,EPSB WARD G,braemar@epsb.ca,53.53146816,,http://braemar.epsb.ca,-113.4307705,Yes,Gr 8-12,WARD 08,7,9359 - 67A Street NW,Braemar School,7704,23,123,286
108,T6W1A6,(587) 489-4708,,12,6,EPSB WARD H,donaldrgetty@epsb.ca,53.40246126,OPP,http://donaldrgetty.epsb.ca,-113.5851708,Yes,K to Gr 9,WARD 09,8,8102 Chappelle Way SW,Donald R. Getty School,1950,387,76,67
